,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
77,"datetime(2017, 8, 14, 10, 32, 20)","datetime(2017, 8, 14, 12, 38, 13)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
78,"datetime(2017, 5, 31, 13, 50, 57)","datetime(2017, 6, 1, 0, 40, 40)","datetime(2017, 6, 2, 3, 35, 27)","datetime(2017, 6, 11, 23, 39, 3)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
79,"datetime(2017, 5, 28, 20, 11, 30)","datetime(2017, 6, 5, 18, 36, 22)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80,"datetime(2017, 6, 14, 21, 43, 17)","datetime(2017, 6, 17, 17, 37, 36)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
81,"datetime(2017, 6, 7, 23, 3, 22)","datetime(2017, 8, 19, 8, 15, 15)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
82,"datetime(2017, 7, 14, 0, 29, 17)","datetime(2017, 7, 14, 6, 34, 36)","datetime(2017, 7, 14, 15, 55, 27)","datetime(2017, 7, 14, 20, 46, 11)","datetime(2017, 7, 14, 21, 35, 29)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
83,"datetime(2017, 6, 21, 4, 24, 52)","datetime(2017, 6, 21, 15, 49, 49)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
84,"datetime(2017, 7, 10, 8, 32, 52)","datetime(2017, 8, 3, 10, 53, 56)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
85,"datetime(2017, 8, 1, 8, 25, 43)","datetime(2017, 8, 3, 8, 2, 34)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
86,"datetime(2017, 8, 12, 9, 50, 14)","datetime(2017, 8, 12, 9, 55, 15)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
87,"datetime(2017, 7, 26, 22, 29, 16)","datetime(2017, 7, 27, 1, 25, 7)","datetime(2017, 7, 31, 9, 11, 13)","datetime(2017, 7, 31, 11, 15, 28)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
88,"datetime(2017, 6, 22, 19, 17, 19)","datetime(2017, 6, 23, 1, 53, 18)","datetime(2017, 6, 23, 17, 22, 15)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
89,"datetime(2017, 8, 12, 14, 37, 49)","datetime(2017, 8, 13, 0, 57, 12)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
90,"datetime(2017, 8, 12, 11, 11, 1)","datetime(2017, 8, 12, 11, 55, 14)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
91,"datetime(2017, 8, 14, 11, 24, 36)","datetime(2017, 8, 14, 11, 27, 2)","datetime(2017, 8, 14, 15, 11, 58)","datetime(2017, 8, 15, 1, 41, 2)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
92,"datetime(2017, 8, 5, 15, 6, 10)","datetime(2017, 8, 6, 1, 18, 53)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
93,"datetime(2017, 8, 18, 16, 44, 25)","datetime(2017, 8, 19, 3, 52, 26)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
94,"datetime(2017, 8, 18, 14, 22, 14)","datetime(2017, 8, 18, 15, 38, 1)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
95,"datetime(2017, 5, 30, 3, 35, 50)","datetime(2017, 6, 18, 12, 21, 23)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
96,"datetime(2017, 6, 6, 10, 45, 31)","datetime(2017, 6, 6, 11, 30, 9)","datetime(2017, 6, 6, 16, 36, 55)","datetime(2017, 6, 7, 5, 55, 15)","datetime(2017, 6, 8, 17, 43, 7)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
97,"datetime(2017, 7, 11, 13, 55, 52)","datetime(2017, 7, 12, 16, 19, 58)","datetime(2017, 7, 12, 16, 35, 18)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
98,"datetime(2017, 8, 13, 21, 1, 1)","datetime(2017, 8, 13, 21, 34, 31)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
99,"datetime(2017, 6, 9, 20, 8, 1)","datetime(2017, 6, 9, 21, 34, 15)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
100,"datetime(2017, 8, 13, 21, 55, 24)","datetime(2017, 8, 13, 22, 12, 57)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
101,"datetime(2017, 6, 19, 16, 52, 34)","datetime(2017, 6, 19, 16, 53, 44)","datetime(2017, 6, 19, 23, 31, 30)","datetime(2017, 6, 27, 18, 8, 18)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
102,"datetime(2017, 6, 28, 9, 41, 2)","datetime(2017, 8, 11, 16, 9, 32)","datetime(2017, 8, 14, 17, 18, 13)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
103,"datetime(2017, 8, 12, 13, 42, 12)","datetime(2017, 8, 12, 14, 40, 20)","datetime(2017, 8, 12, 18, 18, 3)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
104,"datetime(2017, 6, 24, 15, 24, 19)","datetime(2017, 6, 25, 17, 15)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
105,"datetime(2017, 6, 7, 22, 15, 6)","datetime(2017, 6, 12, 18, 21)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
106,"datetime(2017, 6, 24, 12, 13, 37)","datetime(2017, 6, 25, 20, 0, 14)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
107,"datetime(2017, 5, 27, 21, 54, 17)","datetime(2017, 8, 12, 15, 15, 40)","datetime(2017, 9, 8, 2, 40, 24)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
108,"datetime(2017, 6, 19, 3, 11, 30)","datetime(2017, 6, 19, 4, 2, 19)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
109,"datetime(2017, 6, 4, 22, 0, 8)","datetime(2017, 6, 13, 4, 40, 33)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
110,"datetime(2017, 6, 27, 15, 37, 20)","datetime(2017, 9, 6, 20, 27, 12)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
111,"datetime(2017, 9, 1, 15, 21, 27)","datetime(2017, 9, 3, 10, 15, 29)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
