"('http://21stcenturywire.com/2017/09/06/tipperarys-white-helmets-peace-prize-judas-kiss-antiwar-movement-syria/', datetime.datetime(2017, 9, 6, 17, 18, 35))","('https://syria360.wordpress.com/2017/09/06/tipperarys-white-helmets-peace-prize-a-judas-kiss-to-the-antiwar-movement-and-syria/', datetime.datetime(2017, 9, 6, 20, 12, 45))","('https://friendsofsyria.wordpress.com/2017/09/06/tipperarys-white-helmets-peace-prize-a-judas-kiss-to-the-antiwar-movement-and-syria/', datetime.datetime(2017, 9, 6, 21, 40, 19))","('http://beforeitsnews.com/alternative/2017/09/tipperarys-white-helmets-peace-prize-a-judas-kiss-to-the-antiwar-movement-and-syria-3550571.html', datetime.datetime(2017, 9, 8, 5, 16, 4))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('http://www.truepatriot.net/syrian-white-helmets-volunteer-caught-on-video-dumping-mutilated-corpses/', datetime.datetime(2017, 6, 23, 21, 7, 44))","('http://survivalhacking.com/syrian-white-helmets-volunteer-caught-on-video-dumping-mutilated-corpses/', datetime.datetime(2017, 6, 23, 21, 21, 19))","('http://www.revereradionetwork.com/syrian-white-helmets-volunteer-caught-on-video-dumping-mutilated-corpses/', datetime.datetime(2017, 6, 23, 21, 24, 36))","('http://beforeitsnews.com/alternative/2017/06/syrian-white-helmets-volunteer-caught-on-video-dumping-mutilated-corpses-3525521.html', datetime.datetime(2017, 6, 24, 17, 35))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('https://www.theamericanconservative.com/articles/ex-weapons-inspector-trumps-sarin-claims-built-on-lie/', datetime.datetime(2017, 6, 29, 21, 6, 16))","('http://www.mintpressnews.com/washingtons-chemical-weapon-house-cards-demolished-ex-weapons-inspector/229334/', datetime.datetime(2017, 7, 2, 16, 6, 43))","('https://consortiumnews.com/2017/07/02/pursuing-hard-truths-in-syria/', datetime.datetime(2017, 7, 3, 16, 16, 28))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('https://www.sott.net/article/318008-The-White-Helmets-A-rescue-and-assist-organization-for-terrorists', datetime.datetime(2017, 6, 18, 13, 55, 26))","('http://www.activistpost.com/?p=143387', datetime.datetime(2017, 6, 27, 18, 40, 31))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('https://talesfromtheloublog.wordpress.com/2017/06/21/thanks-america-gruesome-video-shows-oscar-winning-white-helmets-beheading-dumping-syrian-army-bodies/', datetime.datetime(2017, 6, 21, 16, 53, 31))","('http://feedproxy.google.com/~r/ConsciousnessTv/~3/dDWsNCSc6Xs/', datetime.datetime(2017, 6, 24, 17, 9, 15))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('http://furor.tv/financiacion-de-los-white-helmets', datetime.datetime(2017, 6, 20, 14, 20, 48))","('https://actualidad.rt.com/actualidad/242252-miembro-cascos-blancos-cuerpos-mutilados-siria', datetime.datetime(2017, 6, 24, 3, 35, 30))","('https://es.rt.com/56x8', datetime.datetime(2017, 6, 24, 19, 54, 24))","('http://sirioandaluz.blogspot.com.es/2016/08/white-helmets-la-ong-terrorista.html', datetime.datetime(2017, 8, 13, 21, 42, 53))","('http://www.abc.es/internacional/abci-cascos-blancos-heroes-siria-nominados-para-oscar-y-vetados-trump-201702012319_noticia.html', datetime.datetime(2017, 9, 5, 17, 45, 18))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('https://www.rt.com/news/393809-white-helmets-mutilated-bodies/#.WU4RcAKyH8c.twitter', datetime.datetime(2017, 6, 23, 22, 36, 53))","('http://travelwirenews.com/white-helmets-member-caught-on-camera-disposing-of-syrian-soldiers-mutilated-bodies-graphic-video-172178/', datetime.datetime(2017, 6, 23, 22, 48, 14))","('http://www.f3nws.com/news/white-helmets-member-caught-on-camera-disposing-of-syrian-soldiers-mutilated-bodies-graphic-video-hdS24B?v=170623223541', datetime.datetime(2017, 6, 24, 2, 46, 16))","('https://geopolitics.co/2017/06/24/uk-funded-oscar-awarded-white-helmets-are-beheading-terrorists-graphic-video/', datetime.datetime(2017, 6, 24, 3, 24, 46))","('https://www.therussophile.org/uk-funded-oscar-awarded-white-helmets-caught-beheading-syrian-army-bodies-graphic-video.html/', datetime.datetime(2017, 6, 24, 4, 44, 2))","('http://webegram.org/44426', datetime.datetime(2017, 6, 24, 6, 38, 30))","('http://yournewswire.com/white-helmets-dead-syrian-soldiers/', datetime.datetime(2017, 6, 24, 7, 17, 33))","('https://www.google.com/newsstand/s/posts/CAIiEKR7VvB0endmERbiUgTwl-cqFwgEKg8IACoHCAownP3cAjDQkhww_oMo/White+Helmets+member+caught+on+camera+disposing+of+Syrian+soldiers%E2%80%99+mutilated+bodies+%28GRAPHIC+VIDEO%29', datetime.datetime(2017, 6, 24, 13, 40, 10))","('http://asheepnomore.net/?p=19288', datetime.datetime(2017, 6, 24, 16, 8, 2))","('https://nexusnewsfeed.com/article/geopolitics/white-helmets-member-caught-on-camera-disposing-of-syrian-soldiers-mutilated-bodies/', datetime.datetime(2017, 6, 24, 18, 46, 49))","('https://syrianfreepress.wordpress.com/2017/06/25/white-helmets-graphic/', datetime.datetime(2017, 6, 26, 17, 29, 34))","('http://www.jewworldorder.org/uk-funded-oscar-awarded-white-helmets-caught-beheading-syrian-army-bodies-graphic-video/', datetime.datetime(2017, 6, 29, 3, 50, 12))",,,,,,,,,,,,,,,,,,,,,,,,,
"('https://www.nakedcapitalism.com/2017/05/yet-another-video-shows-u-s-funded-white-helmets-assisting-public-executions-rebel-held-syria.html', datetime.datetime(2017, 5, 27, 16, 0, 38))","('https://www.alternet.org/grayzone-project/white-helmets-assisting-public-executions-rebel-held-syria', datetime.datetime(2017, 5, 28, 9, 2, 37))","('http://therealnews.com/t2/component/content/article/641-ben-norton-and-max-blumenthal/3157--yet-another-video-shows-us-funded-white-helmets-assisting-public-executions-in-rebel-held-syria', datetime.datetime(2017, 5, 28, 13, 55, 30))","('http://www.jewworldorder.org/yet-another-video-shows-u-s-funded-white-helmets-assisting-public-executions-in-rebel-held-syria/', datetime.datetime(2017, 6, 2, 20, 30, 59))","('https://mronline.org/2017/05/25/u-s-funded-white-helmets-assist-in-public-execution-in-rebel-held-syria-for-at-least-the-second-time/', datetime.datetime(2017, 6, 24, 23, 41, 31))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('https://cooptv.wordpress.com/2017/06/21/gekoepfte-menschen-white-helmets-weisshelme-in-syrien-18-jahre/', datetime.datetime(2017, 6, 21, 21, 36, 47))","('https://propagandaticker.wordpress.com/2017/07/06/the-fraud-of-the-white-helmets-philip-giraldi/', datetime.datetime(2017, 7, 6, 17, 29, 51))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('http://21stcenturywire.com/2017/05/26/john-pilger-exposes-white-helmets-as-uk-propaganda-construct-in-syria/', datetime.datetime(2017, 5, 27, 15, 8, 34))","('https://www.mintpressnews.com/john-pilger-the-white-helmets-are-a-complete-propaganda-construct/228238/', datetime.datetime(2017, 5, 27, 15, 30, 4))","('http://www.blacklistednews.com/John_Pilger%3A_The_White_Helmets_Are_A_%E2%80%9CComplete_Propaganda_Construct%E2%80%9D/58726/0/38/38/Y/M.html', datetime.datetime(2017, 5, 27, 16, 7, 13))","('https://friendsofsyria.wordpress.com/2017/05/27/john-pilger-exposes-white-helmets-as-propaganda-construct-in-syria/', datetime.datetime(2017, 5, 27, 17, 14, 12))","('http://beforeitsnews.com/alternative/2017/05/john-pilger-exposes-white-helmets-as-uk-propaganda-construct-in-syria-3515442.html', datetime.datetime(2017, 5, 27, 23, 25, 27))","('http://yournewswire.com/john-pilger-white-helmets-propaganda/', datetime.datetime(2017, 5, 28, 1, 54, 11))","('http://feedproxy.google.com/~r/HumansAreFree/~3/lpXlqsMnjCQ/john-pilger-exposes-white-helmets-as.html', datetime.datetime(2017, 5, 28, 4, 32, 23))","('http://www.thefringenews.com/john-pilger-exposes-white-helmets-as-propaganda-construct-in-syria-video/', datetime.datetime(2017, 5, 29, 19, 16, 53))","('http://www.thesleuthjournal.com/john-pilger-white-helmets-propaganda-construct-syria/', datetime.datetime(2017, 5, 30, 15, 51, 52))","('http://www.jewworldorder.org/john-pilger-white-helmets-are-pure-western-propaganda/', datetime.datetime(2017, 6, 2, 7, 30, 35))","('https://bsnews.info/john-pilger-exposes-white-helmets-propaganda-construct-syria/', datetime.datetime(2017, 6, 2, 11, 39, 13))","('https://www.sott.net/article/352136', datetime.datetime(2017, 6, 3, 16, 53, 18))","('http://theantimedia.org/john-pilger-white-helmets-propaganda/amp/', datetime.datetime(2017, 6, 25, 8, 2, 14))",,,,,,,,,,,,,,,,,,,,,,,,
"('https://www.mintpressnews.com/james-le-mesurier-british-ex-military-mercenary-founded-white-helmets/230320/', datetime.datetime(2017, 7, 31, 13, 11, 33))","('http://galacticconnection.com/james-le-mesurier-the-former-british-mercenary-who-founded-the-white-helmets/', datetime.datetime(2017, 7, 31, 14, 56, 52))","('http://www.thelastamericanvagabond.com/psychological-operations/james-le-mesurier-former-british-mercenary-founded-white-helmets/', datetime.datetime(2017, 7, 31, 17, 21, 20))","('http://www.caribflame.com/2017/07/james-le-mesurier-the-former-british-mercenary-who-founded-the-white-helmets/', datetime.datetime(2017, 7, 31, 18, 12, 55))","('https://www.therussophile.org/james-le-mesurier-the-former-british-mercenary-who-founded-the-white-helmets.html/', datetime.datetime(2017, 7, 31, 19, 40, 11))","('https://www.sott.net/article/357989-James-Le-Mesurier-The-former-British-mercenary-who-founded-NATOs-fake-humanitarian-White-Helmets', datetime.datetime(2017, 8, 1, 10, 39, 51))","('http://www.theeventchronicle.com/news/middle-east/james-le-mesurier-british-mercenary-founded-white-helmets/', datetime.datetime(2017, 8, 1, 16, 10, 29))","('http://theantimedia.org/james-le-mesurier-white-helmets/', datetime.datetime(2017, 8, 1, 16, 44, 52))","('http://21stcenturywire.com/2017/08/01/james-le-mesurier-the-british-mercenary-who-founded-the-white-helmets/#disqus_thread', datetime.datetime(2017, 8, 1, 21, 47, 44))","('https://bsnews.info/james-le-mesurier-british-mercenary-founded-white-helmets/', datetime.datetime(2017, 8, 2, 16, 41, 16))","('http://beforeitsnews.com/alternative/2017/08/james-le-mesurier-the-british-mercenary-who-founded-the-white-helmets-3538737.html', datetime.datetime(2017, 8, 3, 4, 0, 57))","('https://alethonews.wordpress.com/2017/08/02/james-le-mesurier-the-former-british-mercenary-who-founded-the-white-helmets/', datetime.datetime(2017, 8, 3, 20, 28, 43))","('http://www.jewworldorder.org/james-le-mesurier-the-former-british-mercenary-who-founded-the-white-helmets/', datetime.datetime(2017, 8, 14, 7, 21, 26))",,,,,,,,,,,,,,,,,,,,,,,,
"('http://dlvr.it/Pdgprk', datetime.datetime(2017, 8, 12, 13, 45, 38))","('http://www.f3nws.com/news/white-helmets-rescuers-shot-dead-in-syria-attack-VczjPG?v=170812131843', datetime.datetime(2017, 8, 12, 13, 54, 51))","('https://www.linkedin.com/slink?code=eQ3uefz', datetime.datetime(2017, 8, 12, 14, 10, 35))","('http://trib.al/W6Fcfqw', datetime.datetime(2017, 8, 12, 15, 48, 47))","('https://t.co/IMhN5cWKom', datetime.datetime(2017, 8, 12, 15, 50, 47))","('https://www.google.com/newsstand/s/posts/CAIiEAl8XlreGxgyZYvMb6DmfXkqGQgEKhAIACoHCAowocv1CjCSptoCMPrTpgU/7+White+Helmets+rescuers+shot+dead+in+Syria+gun+attack', datetime.datetime(2017, 8, 12, 21, 13, 3))","('https://www.intellinews.org/united-states/cnn/2017/08/13/white-helmets-7-rescuers-shot-dead-in-syria-gun-attack/', datetime.datetime(2017, 8, 13, 3, 58, 27))","('http://www.engportals.org/?p=10991', datetime.datetime(2017, 8, 13, 11, 59, 18))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
